epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1819,3.04438,3.79587,2.76312,0.00436,0.24323,0.00261,0.00074,3.18745,3.85579,3.10479,0.00015003,0.00015003,0.00015003
2,17.0737,2.78403,3.62584,2.65711,0.01004,0.4396,0.08352,0.02989,2.62484,3.57731,2.64773,0.000316711,0.000316711,0.000316711
3,17.703,2.42526,3.41001,2.28612,0.01921,0.67833,0.14471,0.04275,2.43115,3.49987,2.36267,0.000483312,0.000483312,0.000483312
4,18.326,2.20215,3.27459,2.16906,0.02103,0.72288,0.16949,0.04787,2.31694,3.48037,2.23675,0.000649773,0.000649773,0.000649773
5,18.9455,2.10155,3.0504,2.09694,0.0185,0.60561,0.12348,0.03157,2.64691,3.47181,2.55937,0.000816032,0.000816032,0.000816032
6,19.5461,2.17627,2.89934,2.18301,0.02323,0.75028,0.21349,0.05574,2.4603,3.24073,2.54629,0.000982029,0.000982029,0.000982029
7,20.1491,2.22038,2.79776,2.18711,0.02323,0.75028,0.21349,0.05574,2.4603,3.24073,2.54629,0.0011477,0.0011477,0.0011477
8,20.9133,2.20022,2.76807,2.19488,0.30933,0.22365,0.20786,0.05634,2.35363,3.08239,2.60967,0.00131299,0.00131299,0.00131299
9,21.5065,2.12574,2.72258,2.14168,0.25396,0.32992,0.18283,0.04483,2.31625,2.99883,2.73859,0.00147784,0.00147784,0.00147784
10,22.1002,2.16183,2.63268,2.12138,0.25396,0.32992,0.18283,0.04483,2.31625,2.99883,2.73859,0.00164218,0.00164218,0.00164218
11,22.6891,2.13323,2.53941,2.17214,0.28272,0.38994,0.24466,0.06605,2.30233,2.90533,2.80077,0.00165684,0.00165684,0.00165684
12,23.2865,2.18403,2.73076,2.22513,0.26985,0.21214,0.16873,0.03027,2.55981,2.9085,3.09666,0.00165471,0.00165471,0.00165471
